 Hour 0 represents the hour from midnight to 01:00 and hour 23 represents the hour from 23:00 to midnight.,,,
,, DATA, DATA
Hour,Date/hour start,Solar electricity generation (kWh),Electricity usage (kWh)
0,1/1/20 0:00,0.0000000 ,1.5098490 
1,1/1/20 1:00,0.0000000 ,1.4118588 
2,1/1/20 2:00,0.0000000 ,1.0238976 
3,1/1/20 3:00,0.0000000 ,0.6420000 
4,1/1/20 4:00,0.0000000 ,0.9600000 
5,1/1/20 5:00,0.0120000 ,0.8970000 
6,1/1/20 6:00,0.0060000 ,0.6480000 
7,1/1/20 7:00,0.0090000 ,0.7740000 
8,1/1/20 8:00,0.0120000 ,1.2990000 
9,1/1/20 9:00,0.8460000 ,0.6060000 
10,1/1/20 10:00,0.0000000 ,0.0000000 
11,1/1/20 11:00,0.0000000 ,0.0000000 
12,1/1/20 12:00,0.6510000 ,0.3960000 
13,1/1/20 13:00,0.3630000 ,0.6150000 
14,1/1/20 14:00,0.3030000 ,1.4190000 
15,1/1/20 15:00,0.1590000 ,1.4370000 
16,1/1/20 16:00,0.0810000 ,3.1050000 
17,1/1/20 17:00,0.0060000 ,-12.6240000 
18,1/1/20 18:00,0.0000000 ,8.9298000 
19,1/1/20 19:00,0.0210000 ,2.2176000 
20,1/1/20 20:00,0.0030000 ,4.4286000 
21,1/1/20 21:00,0.0030000 ,6.7890000 
22,1/1/20 22:00,0.0060000 ,1.8060000 
23,1/1/20 23:00,0.0000000 ,0.9359064 
0,1/2/20 0:00,0.0000000 ,0.7339266 
1,1/2/20 1:00,0.0000000 ,0.3079692 
2,1/2/20 2:00,0.0000000 ,0.1979802 
3,1/2/20 3:00,0.0000000 ,0.2670000 
4,1/2/20 4:00,0.0000000 ,0.1620000 
5,1/2/20 5:00,0.0120000 ,0.2160000 
6,1/2/20 6:00,0.0150000 ,0.2130000 
7,1/2/20 7:00,0.0000000 ,0.8040000 
8,1/2/20 8:00,0.0270000 ,1.1790000 
9,1/2/20 9:00,0.2760000 ,2.6010000 
10,1/2/20 10:00,0.2430000 ,1.3800000 
11,1/2/20 11:00,0.4980000 ,1.5360000 
12,1/2/20 12:00,0.3990000 ,1.5960000 
13,1/2/20 13:00,0.5040000 ,22.5000000 
14,1/2/20 14:00,0.1590000 ,1.5960000 
15,1/2/20 15:00,0.0570000 ,0.5640000 
16,1/2/20 16:00,0.0000000 ,5.5620000 
17,1/2/20 17:00,0.0150000 ,1.3890000 
18,1/2/20 18:00,0.0000000 ,13.2330000 
19,1/2/20 19:00,0.0180000 ,7.8672000 
20,1/2/20 20:00,0.0120000 ,2.6334000 
21,1/2/20 21:00,0.0060000 ,1.3620000 
22,1/2/20 22:00,0.0180000 ,1.5750000 
23,1/2/20 23:00,0.0000000 ,1.2018798 
0,1/3/20 0:00,0.0000000 ,1.6890000 
1,1/3/20 1:00,0.0000000 ,0.8679132 
2,1/3/20 2:00,0.0000000 ,0.4179582 
3,1/3/20 3:00,0.0000000 ,0.2880000 
4,1/3/20 4:00,0.0000000 ,0.1860000 
5,1/3/20 5:00,0.0090000 ,0.4740000 
6,1/3/20 6:00,0.0120000 ,0.4590000 
7,1/3/20 7:00,0.0270000 ,0.5910000 
8,1/3/20 8:00,0.0030000 ,10.0530000 
9,1/3/20 9:00,0.3570000 ,8.2020000 
10,1/3/20 10:00,1.0860000 ,0.8970000 
11,1/3/20 11:00,0.9930000 ,0.7260000 
12,1/3/20 12:00,2.0310000 ,0.3600000 
13,1/3/20 13:00,3.3360000 ,0.0480000 
14,1/3/20 14:00,1.0440000 ,0.2250000 
15,1/3/20 15:00,0.3420000 ,2.3490000 
16,1/3/20 16:00,0.0330000 ,2.4390000 
17,1/3/20 17:00,0.0090000 ,2.1690000 
18,1/3/20 18:00,0.0000000 ,4.8114000 
19,1/3/20 19:00,0.0150000 ,15.5100000 
20,1/3/20 20:00,0.0000000 ,5.9796000 
21,1/3/20 21:00,0.0180000 ,3.0810000 
22,1/3/20 22:00,0.0060000 ,2.4840000 
23,1/3/20 23:00,0.0000000 ,2.7825000 
0,1/4/20 0:00,0.0000000 ,1.7538246 
1,1/4/20 1:00,0.0000000 ,0.8899110 
2,1/4/20 2:00,0.0000000 ,0.2919708 
3,1/4/20 3:00,0.0000000 ,0.1890000 
4,1/4/20 4:00,0.0000000 ,0.1950000 
5,1/4/20 5:00,0.0090000 ,0.4770000 
6,1/4/20 6:00,0.0090000 ,0.2280000 
7,1/4/20 7:00,0.0120000 ,5.2560000 
8,1/4/20 8:00,0.0030000 ,2.4810000 
9,1/4/20 9:00,0.2010000 ,0.5700000 
10,1/4/20 10:00,0.2010000 ,0.7470000 
11,1/4/20 11:00,0.1860000 ,0.2190000 
12,1/4/20 12:00,1.1220000 ,0.4620000 
13,1/4/20 13:00,0.8850000 ,0.2040000 
14,1/4/20 14:00,0.3180000 ,0.2370000 
15,1/4/20 15:00,0.1800000 ,0.3540000 
16,1/4/20 16:00,0.0330000 ,0.6090000 
17,1/4/20 17:00,0.0150000 ,0.3090000 
18,1/4/20 18:00,0.0030000 ,0.6798000 
19,1/4/20 19:00,0.0030000 ,14.0184000 
20,1/4/20 20:00,0.0060000 ,3.0822000 
21,1/4/20 21:00,0.0030000 ,1.4640000 
22,1/4/20 22:00,0.0000000 ,1.5180000 
